Branch,Pressure [bar],x_CO2 [-],x_CH4 [-],y_CO2 [-],y_CH4 [-],rho_L [kg/m3],rho_V [kg/m3],rho_L_mol_cm3 [mol/cm3],rho_V_mol_cm3 [mol/cm3],M_liq [kg/mol],M_vap [kg/mol]
Dew,32.07470272848341,0.9998467762547842,0.0001532237452157581,0.999,0.0010000000000000009,945.9238524837598,88.45579623056251,0.02149572174791071,0.0020112031181589475,0.0440052147853886,0.04398153296
Dew,32.11695432399311,0.9996932119489839,0.00030678805101613804,0.9980010010010011,0.001998998998998913,945.7218316302378,88.53252760434928,0.021493228565106787,0.002014227272870747,0.044000920046305715,0.04395359391503503
Dew,32.15932228479065,0.9995391518051101,0.0004608481948898957,0.9970020020020021,0.0029979979979979365,945.5191520429054,88.60950657294492,0.021490726696764103,0.0020172609113067864,0.043996611440099594,0.043925654870070066
Dew,32.20180705178271,0.9993845936621705,0.0006154063378295271,0.996003003003003,0.00399699699699696,945.3158108319204,88.68673429209996,0.021488216101795538,0.002020304077903297,0.04399228890633367,0.043897715825105106
Dew,32.24440906844571,0.9992295353450471,0.000770464654952896,0.995004004004004,0.004995995995995983,945.1118050883568,88.76421192625888,0.021485696738826582,0.0020233568174078892,0.043987952384176354,0.04386977678014014
Dew,32.28712878084905,0.99907397466437,0.0009260253356300208,0.9940050050050051,0.0059949949949948955,944.9071318840465,88.84194064865144,0.021483168566193016,0.0020264191748826208,0.043983601812397424,0.043841837735175186
Bubble,32.30743639977017,0.999,0.0010000000000000009,0.9935310776272422,0.006468922372757757,944.8098001738974,88.87890348347432,0.02148196610229971,0.0020278753409421336,0.04398153296,0.0438285833892442
Dew,32.32996663766511,0.9989179094163887,0.001082090583611306,0.9930060060060061,0.006993993993993919,944.7017882713864,88.91992164132506,0.021480631541937727,0.0020294911957057437,0.04397923712936452,0.04381389869021022
Dew,32.37292309021135,0.9987613373828428,0.0012386626171572157,0.9920070070070071,0.007992992992992942,944.495771283178,88.99815609532072,0.02147808562380834,0.002032572925576729,0.04397485827303946,0.04378595964524525
Dew,32.4159985924519,0.9986042563308312,0.0013957436691688363,0.991008008008008,0.008991991991991966,944.2890779324439,89.07664521066769,0.021475530769254274,0.002035664410517169,0.04397046518097461,0.043758020600280285
Dew,32.45919360102598,0.998446664012679,0.0015533359873209918,0.990009009009009,0.009990990990990989,944.0817052122301,89.15539019649823,0.021472966935423568,0.0020387656968744333,0.04396605779030915,0.04373008155531532
Dew,32.502508575286285,0.9982885581658045,0.0017114418341954707,0.9890100100100101,0.010989989989989901,943.8736500954576,89.23439227120691,0.021470394079160744,0.0020418768313263534,0.043961636037765386,0.04370214251035036
Dew,32.545943977293625,0.9981299365125831,0.0018700634874169175,0.9880110110110111,0.011988988988988925,943.6649095347038,89.3136526624143,0.021467812157003205,0.0020449978608814492,0.04395719985964488,0.04367420346538539
Bubble,32.58123503334484,0.9980010010010011,0.001998998998998913,0.987201368500481,0.012798631499518986,943.4952299789155,89.37807990799278,0.021465712947222226,0.002047534603082426,0.04395359391503503,0.043651560160907696
Dew,32.58950027185654,0.9979707967602106,0.00202920323978939,0.987012012012012,0.012987987987987948,943.4554804620317,89.3931726071316,0.0214652211251786,0.0020481288328837587,0.04395274919182468,0.043646264420420425
Dew,32.63317792654938,0.997811136600565,0.002188863399435026,0.986013013013013,0.013986986986986971,943.2453597887954,89.47295335182945,0.021462620939601766,0.0020512697950154897,0.04394828396975347,0.04361832537545546
