Branch,Pressure [bar],x_CO2 [-],x_CH4 [-],y_CO2 [-],y_CH4 [-],rho_L [kg/m3],rho_V [kg/m3],rho_L_mol_cm3 [mol/cm3],rho_V_mol_cm3 [mol/cm3],M_liq [kg/mol],M_vap [kg/mol]
Dew,32.07470513262186,0.9998467762504211,0.00015322374957891545,0.999,0.0010000000000000009,945.9238544228346,88.45580695258334,0.021495721792034975,0.0020112033619435563,0.04400521478526658,0.04398153296
Dew,32.11695613201773,0.9996932119424018,0.0003067880575983164,0.9980010010010011,0.001998998998998913,945.7218330750461,88.53253566581654,0.02149322859803257,0.00201422745627935,0.04400092004612163,0.04395359391503503
Dew,32.15932710898492,0.9995391517786785,0.0004608482213215447,0.9970020020020021,0.0029979979979979365,945.5191558617713,88.609528077361,0.02149072678392428,0.002017261400870713,0.04399661143936037,0.043925654870070066
Dew,32.20180944433801,0.9993845936446325,0.0006154063553675686,0.996003003003003,0.00399699699699696,945.3158127077947,88.68674495458353,0.0214882161446761,0.0020203043207971103,0.04399228890584318,0.043897715825105106
Dew,32.24440891605555,0.9992295353464483,0.0007704646535517174,0.995004004004004,0.004995995995995983,945.1118049700236,88.76421124729396,0.02148569673611732,0.0020233568019310632,0.04398795238421553,0.04386977678014014
Dew,32.287126237824545,0.999073974692526,0.0009260253074739874,0.9940050050050051,0.0059949949949948955,944.9071299290418,88.8419293211156,0.021483168521359907,0.0020264189165098783,0.04398360181318487,0.043841837735175186
Bubble,32.30743218425233,0.999,0.0010000000000000009,0.9935310773048982,0.006468922695101761,944.8097967287315,88.87888461745611,0.021481966023967607,0.0020278749109091405,0.04398153296,0.043828583380229186
Dew,32.3299615901325,0.998917909481817,0.0010820905181830212,0.9930060060060061,0.006993993993993919,944.7017844300096,88.91989916325485,0.021480631453698752,0.002029490682670591,0.04397923713119436,0.04381389869021022
Dew,32.372921195978755,0.998761337411003,0.0012386625889969425,0.9920070070070071,0.007992992992992942,944.4957698563234,88.9981476618032,0.021478085590976626,0.002032572732968925,0.04397485827382702,0.04378595964524525
Dew,32.415996059581,0.998604256373342,0.0013957436266579723,0.991008008008008,0.008991991991991966,944.289076044399,89.0766339364995,0.02147553072573467,0.00203566415286913,0.043970465182163514,0.043758020600280285
Dew,32.45919042315583,0.9984466640721518,0.0015533359278482545,0.990009009009009,0.009990990990990989,944.0817028685095,89.15537605471712,0.02147296688130372,0.0020387653734864905,0.043966057791972435,0.04373008155531532
Dew,32.50250474597106,0.9982885582449155,0.0017114417550845055,0.9890100100100101,0.010989989989989901,943.8736473017822,89.2343752344827,0.021470394014532154,0.002041876441489077,0.04396163603997788,0.04370214251035036
Dew,32.545939490014575,0.9981299366140755,0.0018700633859246372,0.9880110110110111,0.011988988988988925,943.664906297014,89.31363270310204,0.021467812081961454,0.0020449974038768406,0.04395719986248332,0.04367420346538539
Bubble,32.581231422278385,0.9980010010010011,0.001998998998998913,0.9872013679541088,0.012798632045891078,943.4952270157546,89.378063692967,0.021465712879806555,0.002047534232334197,0.04395359391503503,0.04365156014562729
Dew,32.58949898389214,0.9979707967918818,0.0020292032081181423,0.987012012012012,0.012987987987987948,943.455479543104,89.39316687964039,0.02146522110383885,0.0020481287016585257,0.04395274919271044,0.043646264420420425
Dew,32.63317647077675,0.9978111366392548,0.002188863360745237,0.986013013013013,0.013986986986986971,943.2453587619979,89.47294687961836,0.021462620915709572,0.0020512696466326473,0.04394828397083551,0.04361832537545546
Dew,32.67697578647099,0.9976509537565129,0.0023490462434870114,0.9850140140140141,0.014985985985985883,943.0345432724458,89.55298892845421,0.021460011529454377,0.002054420629573863,0.04394380412974655,0.0435903863304905
Dew,32.72089740413528,0.9974902458044957,0.002509754195504283,0.9840150150150151,0.015984984984984907,942.823029943875,89.63329429174651,0.021457392900354696,0.0020575816988484233,0.04393930960402417,0.04356244728552553
Dew,32.76494179976663,0.9973290104283002,0.002670989571699732,0.9830160160160161,0.01698398398398393,942.6108156244261,89.71386424483234,0.021454764983370078,0.002060752903170433,0.043934800327808686,0.04353450824056057
Dew,32.80910945222324,0.9971672452571374,0.0028327547428625994,0.982017017017017,0.017982982982982954,942.397897140761,89.79470007288553,0.021452127733135196,0.00206393429160523,0.04393027623479617,0.043506569195595604
Dew,32.85340084324831,0.997004947904185,0.0029950520958149525,0.981018018018018,0.018981981981981977,942.1842712978511,89.87580307101072,0.021449481103956437,0.002067125913572673,0.04392573725823426,0.04347863015063063
Bubble,32.8542051190291,0.9970020020020021,0.0029979979979979365,0.9809999153596185,0.019000084640381575,942.1803938507431,89.87727750571196,0.021449433062242704,0.002067183896171225,0.043925654870070066,0.04347812387285907
Dew,32.89781645749373,0.9968421159664406,0.0031578840335594527,0.9800190190190191,0.01998098098098089,941.9699348787889,89.95717454433655,0.02144682504980903,0.002070327818850429,0.04392118333091809,0.04345069110566567
Dew,32.942356782545865,0.9966787470245708,0.00332125297542914,0.9790200200200201,0.020979979979979912,941.7548846445719,90.03881580811935,0.02144415952433356,0.0020735400575775114,0.043916614385186056,0.04342275206070071
