T_K,Pc_bar
220,-175.07997032950348
221,-170.26902078744604
222,-165.5054267645343
223,-160.78778943496854
224,-156.1145843972569
225,-151.82057321976953
226,-147.32655888037513
227,-142.34361217400203
228,-137.82888063391854
229,-134.1512131544535
230,-129.859857568741
231,-125.61782810595719
232,-121.42459958936108
233,-117.27965303751476
234,-113.18247923343041
235,-109.13256786740135
236,-105.1294183332976
237,-101.1725352892303
238,-97.26142634686383
239,-93.39560685384066
240,-89.57459725106499
241,-85.79791913333098
242,-82.06510328700567
243,-78.37568327606293
244,-74.72919895198045
245,-71.12519204522118
246,-67.56321088435672
247,-64.04280736510287
248,-60.5635385745863
249,-57.124964306574746
250,-53.72665007902921
251,-50.36816380373955
252,-47.0490787703949
253,-43.768970184811685
254,-40.52741978311661
255,-37.32401043954529
256,-34.158329057319655
257,-31.029965999538557
258,-27.93851488022991
259,-24.883573466851022
260,-21.86473906767603
261,-18.881616717716142
262,-15.933807843855439
263,-13.020921771110743
264,-10.14256795196162
265,-7.298355612359848
266,-4.487899165304825
267,-1.710811745298868
268,1.0332918738628458
269,3.7447947399102244
270,6.424083552931347
271,9.071542270865338
272,11.687556277955286
273,14.272516337351846
274,16.82681049777415
275,19.350835800242717
276,21.844990909339337
277,24.309684890065036
278,26.745332099585532
279,29.152360455212527
280,31.531212340669576
281,33.88234630716168
282,36.20624323127774
283,38.50341510916047
284,40.774405384852415
285,43.01980845800065
286,45.2402715545278
287,47.436518855473864
288,49.60937215374291
289,51.759778209307605
290,53.888855696432806
291,55.99794482014329
292,58.08870357238415
293,60.1632319036484
294,62.22429388879321
295,64.27568315576174
296,66.32297486953418
297,68.37511010783096
298,70.44801588374708
